"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
535987,8141963,24812219,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-28 00:00:00",,"Sale",0.9586354757521787,0.041364524247821395,0.9586354757521787
480028,7415564,25704565,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-27 00:00:00",,"Sale",0.9315506406429724,0.06844935935702756,0.9315506406429724
16957686,278329898,35660307,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
519899,7944710,26192690,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9746147812396724,0.9746147812396724,0.025385218760327653
22016799,484038942,164822958,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9438764968593888,0.9438764968593888,0.05612350314061129
22840338,505251723,167438180,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9397281160632932,0.9397281160632932,0.06027188393670683
18037611,344550594,166105014,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
451678,7044263,44695288,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9412130816314497,0.9412130816314497,0.058786918368550406
17801759,340383852,33889786,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-21 00:00:00",,"Sale",0.9438511204855545,0.056148879514445596,0.9438511204855545
490050,7537052,166258852,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-16 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
25468422,7316210,165975351,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9711911681031405,0.02880883189685943,0.9711911681031405
16963610,278640956,47735650,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-30 00:00:00",,"Sale",0.9573324669797879,0.04266753302021198,0.9573324669797879
18154526,346848797,143914319,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
25449357,348958941,24615881,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9716357006732043,0.02836429932679575,0.9716357006732043
26510148,278487512,166668199,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-26 00:00:00",,"Sale",0.9713128663447381,0.02868713365526181,0.9713128663447381
473998,7325672,13886820,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9765349480432882,0.9765349480432882,0.02346505195671178
525764,8009147,44456303,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
26949109,7558319,,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-29 00:00:00",,"Sale",0.958981746038634,0.041018253961366054,0.958981746038634
21935435,482884218,167792367,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-17 00:00:00",,"Sale",0.8110578627602713,0.1889421372397287,0.8110578627602713
536464,8160689,2218801,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
536468,8160689,2218801,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-29 00:00:00",,"Sale",0.9579960081662019,0.042003991833798174,0.9579960081662019
500754,7686932,166266735,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9382223086582907,0.9382223086582907,0.06177769134170918
26654849,8026748,34890613,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-29 00:00:00",,"Sale",0.9717555756712724,0.028244424328727712,0.9717555756712724
517750,7911086,155331200,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-12 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
524336,7990904,50746836,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9590923916393853,0.9590923916393853,0.04090760836061473
512947,7845140,8784342,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-22 00:00:00",,"Active",0.9738013744156232,0.9738013744156232,0.026198625584376824
26530948,7993019,35703513,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9677307914580081,0.03226920854199197,0.9677307914580081
21381497,462905550,167824054,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9450835088390276,0.9450835088390276,0.05491649116097239
21720227,477610566,216201445,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9478350495963086,0.9478350495963086,0.05216495040369139
26278350,477610566,216201445,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-13 00:00:00",,"Sale",0.9658644921308431,0.034135507869156936,0.9658644921308431
